x-axis,1,3,MATH1
second,Volt,Volt,Volt
+788.0000E-06,+1.0502512449E+00,-1.5226130491E+00,+2.5683593750E+00
+788.2500E-06,+1.0452261195E+00,-1.2060301378E+00,+2.2460937500E+00
+788.5000E-06,+1.0452261195E+00,-964.8241103E-03,+2.0019531250E+00
+788.7500E-06,+781.4070269E-03,-964.8241103E-03,+1.7428588868E+00
+789.0000E-06,+638.1909480E-03,-809.0452174E-03,+1.4453125000E+00
+789.2500E-06,+499.9999947E-03,-625.6281339E-03,+1.1230468750E+00
+789.5000E-06,+311.5577858E-03,-454.7738642E-03,+764.1601562E-03
+789.7500E-06,+173.3668325E-03,-309.0452227E-03,+478.5156250E-03
+790.0000E-06,-233.6683394E-03,-396.9849205E-03,+158.6914062E-03
+790.2500E-06,-160.8040184E-03,-17.5879396E-03,-148.9257812E-03
+790.5000E-06,-316.5829113E-03,+165.8291438E-03,-488.2812500E-03
+790.7500E-06,-585.4271294E-03,+138.1909534E-03,-732.4218750E-03
+791.0000E-06,-650.7537617E-03,+394.4723578E-03,-1.0546875000E+00
+791.2500E-06,-821.6080315E-03,+625.6281339E-03,-1.4550781250E+00
+791.5000E-06,-969.8492357E-03,+718.5929572E-03,-1.6894531250E+00
+791.7500E-06,-1.2286432029E+00,+701.0050177E-03,-1.9335937500E+00
+792.0000E-06,-1.4447236027E+00,+804.0200919E-03,-2.2534179688E+00
+792.2500E-06,-1.3492462166E+00,+1.0628140590E+00,-2.4121093750E+00
+792.5000E-06,-1.4849246073E+00,+1.2060301378E+00,-2.6928710938E+00
+792.7500E-06,-1.8618090255E+00,+1.0904522495E+00,-2.9565429688E+00
+793.0000E-06,-1.8492462113E+00,+1.3643215935E+00,-3.2202148438E+00
+793.2500E-06,-1.7060301325E+00,+1.5904522442E+00,-3.3007812500E+00
+793.5000E-06,-1.8492462113E+00,+1.5653266165E+00,-3.4201049805E+00
+793.7500E-06,-2.0326632948E+00,+1.5628140537E+00,-3.6010742188E+00
+794.0000E-06,-2.1658291227E+00,+1.5326633000E+00,-3.7011718750E+00
+794.2500E-06,-1.9748743506E+00,+1.7236180721E+00,-3.7011718750E+00
+794.5000E-06,-2.0100502297E+00,+1.7688442022E+00,-3.7792968750E+00
+794.7500E-06,-2.1256281181E+00,+1.6532663138E+00,-3.7792968750E+00
+795.0000E-06,-2.0879396762E+00,+1.6909547557E+00,-3.7792968750E+00
+795.2500E-06,-1.9296482205E+00,+1.8492462113E+00,-3.7792968750E+00
+795.5000E-06,-1.9296482205E+00,+1.7688442022E+00,-3.7011718750E+00
+795.7500E-06,-1.8944723414E+00,+1.6432160629E+00,-3.5449218750E+00
+796.0000E-06,-1.7688442022E+00,+1.6105527465E+00,-3.3816528320E+00
+796.2500E-06,-1.5904522442E+00,+1.6432160629E+00,-3.2397460938E+00
+796.5000E-06,-1.5753768674E+00,+1.4798994818E+00,-3.0566406250E+00
+796.7500E-06,-1.5854271188E+00,+1.3090452120E+00,-2.9003906250E+00
+797.0000E-06,-1.3618090308E+00,+1.2889447097E+00,-2.6538085938E+00
+797.2500E-06,-1.1256281286E+00,+1.2688442074E+00,-2.3950195312E+00
+797.5000E-06,-1.0829145613E+00,+1.0075376776E+00,-2.0996093750E+00
+797.7500E-06,-952.2612961E-03,+896.9849152E-03,-1.8554687500E+00
+798.0000E-06,-648.2411990E-03,+879.3969756E-03,-1.5332031250E+00
+798.2500E-06,-517.5879343E-03,+660.8040131E-03,-1.1840820314E+00
+798.5000E-06,-487.4371806E-03,+396.9849205E-03,-888.6718750E-03
+798.7500E-06,-424.6231110E-03,+160.8040184E-03,-588.3789062E-03
+799.0000E-06,-238.6934648E-03,+85.4271346E-03,-325.0122070E-03
+799.2500E-06,+80.4020092E-03,+17.5879396E-03,+61.0351562E-03
+799.5000E-06,+85.4271346E-03,-273.8693440E-03,+353.6987305E-03
+799.7500E-06,+67.8391950E-03,-633.1658226E-03,+697.9370118E-03
+800.0000E-06,+402.0100459E-03,-484.9246179E-03,+881.3476562E-03
+800.2500E-06,+580.4020039E-03,-706.0301431E-03,+1.2792968750E+00
+800.5000E-06,+557.7889389E-03,-927.1356684E-03,+1.4819335938E+00
+800.7500E-06,+701.0050177E-03,-1.1482411937E+00,+1.8457031250E+00
+801.0000E-06,+889.4472265E-03,-1.2814070216E+00,+2.1679687500E+00
+801.2500E-06,+1.0804019986E+00,-1.3316582771E+00,+2.4023437500E+00
+801.5000E-06,+1.0879396868E+00,-1.5276381746E+00,+2.6098632812E+00
+801.7500E-06,+1.1130653145E+00,-1.7010050071E+00,+2.8125000000E+00
+802.0000E-06,+1.3693467189E+00,-1.6105527465E+00,+2.9739379881E+00
+802.2500E-06,+1.5728643046E+00,-1.7236180721E+00,+3.2910156250E+00
+802.5000E-06,+1.4849246073E+00,-1.8919597787E+00,+3.3691406250E+00
+802.7500E-06,+1.5628140538E+00,-1.9748743506E+00,+3.5351562500E+00
+803.0000E-06,+1.6909547557E+00,-1.9271356578E+00,+3.6132812500E+00
+803.2500E-06,+1.7236180721E+00,-2.0376884202E+00,+3.7524414062E+00
+803.5000E-06,+1.6457286257E+00,-2.1331658062E+00,+3.7695312500E+00
+803.7500E-06,+1.7688442022E+00,-2.1256281181E+00,+3.8888549806E+00
+804.0000E-06,+1.9296482205E+00,-1.9271356578E+00,+3.8546752931E+00
+804.2500E-06,+1.8140703322E+00,-1.9020100301E+00,+3.7084960938E+00
+804.5000E-06,+1.6457286257E+00,-2.0904522389E+00,+3.7280273438E+00
+804.7500E-06,+1.7236180721E+00,-1.8944723414E+00,+3.6132812500E+00
+805.0000E-06,+1.8467336486E+00,-1.6909547557E+00,+3.5351562500E+00
+805.2500E-06,+1.6080401838E+00,-1.7512562626E+00,+3.3520507812E+00
+805.5000E-06,+1.4045225981E+00,-1.7738693276E+00,+3.1762695312E+00
+805.7500E-06,+1.3894472212E+00,-1.5502512396E+00,+2.9345703123E+00
+806.0000E-06,+1.3718592816E+00,-1.3618090308E+00,+2.7246093750E+00
+806.2500E-06,+1.2512562678E+00,-1.2236180774E+00,+2.4710083007E+00
+806.5000E-06,+969.8492357E-03,-1.2386934543E+00,+2.2045898438E+00
+806.7500E-06,+942.2110453E-03,-964.8241103E-03,+1.9018554688E+00
+807.0000E-06,+957.2864221E-03,-653.2663243E-03,+1.6040039062E+00
+807.2500E-06,+643.2160735E-03,-706.0301431E-03,+1.3403320312E+00
+807.5000E-06,+316.5829113E-03,-685.9296408E-03,+998.2299806E-03
+807.7500E-06,+241.2060276E-03,-402.0100459E-03,+634.7656250E-03
+808.0000E-06,+163.3165811E-03,-236.1809022E-03,+397.6440431E-03
+808.2500E-06,-62.8140696E-03,-125.6281392E-03,+61.0351562E-03
+808.5000E-06,-359.2964786E-03,-75.3768838E-03,-285.6445312E-03
+808.7500E-06,-437.1859251E-03,+125.6281392E-03,-566.4062500E-03
+809.0000E-06,-482.4120551E-03,+399.4974832E-03,-886.2304688E-03
+809.2500E-06,-741.2060223E-03,+402.0100459E-03,-1.1499023438E+00
+809.5000E-06,-927.1356684E-03,+557.7889389E-03,-1.4916992188E+00
+809.7500E-06,-987.4371753E-03,+723.6180827E-03,-1.7141723632E+00
+810.0000E-06,-1.1206030032E+00,+889.4472265E-03,-2.0117187500E+00
+810.2500E-06,-1.4472361654E+00,+884.4221011E-03,-2.3339843750E+00
+810.5000E-06,-1.4849246073E+00,+1.0502512449E+00,-2.5415039062E+00
+810.7500E-06,-1.5050251096E+00,+1.2512562678E+00,-2.7590942382E+00
+811.0000E-06,-1.6055276211E+00,+1.4472361654E+00,-3.0541992188E+00
+811.2500E-06,-1.8040200814E+00,+1.4120602862E+00,-3.2226562500E+00
+811.5000E-06,-1.9296482205E+00,+1.4045225981E+00,-3.3374023438E+00
+811.7500E-06,-1.7562813880E+00,+1.7587939514E+00,-3.5229492188E+00
+812.0000E-06,-1.8492462113E+00,+1.7688442022E+00,-3.6230468750E+00
+812.2500E-06,-2.1356783689E+00,+1.5628140538E+00,-3.7011718750E+00
+812.5000E-06,-2.1331658062E+00,+1.6457286257E+00,-3.7792968750E+00
+812.7500E-06,-1.9874371647E+00,+1.7914572672E+00,-3.7792968750E+00
+813.0000E-06,-1.9271356578E+00,+1.8517587740E+00,-3.7792968750E+00
+813.2500E-06,-1.9648240997E+00,+1.7964823926E+00,-3.7622070312E+00
+813.5000E-06,-2.0477386716E+00,+1.6934673184E+00,-3.7426757812E+00
+813.7500E-06,-1.8140703322E+00,+1.8266331464E+00,-3.6450195312E+00
+814.0000E-06,-1.6984924438E+00,+1.8366833979E+00,-3.5424804688E+00
+814.2500E-06,-1.7864321418E+00,+1.5904522442E+00,-3.3789062500E+00
+814.5000E-06,-1.6884421930E+00,+1.4849246073E+00,-3.1811523438E+00
+814.7500E-06,-1.5050251096E+00,+1.4346733512E+00,-2.9443359373E+00
+815.0000E-06,-1.4472361654E+00,+1.2889447097E+00,-2.7371215819E+00
+815.2500E-06,-1.3668341562E+00,+1.1256281286E+00,-2.5000000000E+00
+815.5000E-06,-1.1582914452E+00,+1.0929648121E+00,-2.2558593750E+00
+815.7500E-06,-964.8241103E-03,+1.0100502403E+00,-1.9802856443E+00
+816.0000E-06,-809.0452173E-03,+879.3969757E-03,-1.6894531250E+00
+816.2500E-06,-866.8341615E-03,+562.8140643E-03,-1.4358520507E+00
+816.5000E-06,-648.2411989E-03,+515.0753716E-03,-1.1694335938E+00
+816.7500E-06,-379.3969810E-03,+482.4120551E-03,-866.6992188E-03
+817.0000E-06,-396.9849206E-03,+165.8291438E-03,-566.4062500E-03
+817.2500E-06,-349.2462271E-03,-170.8542692E-03,-183.1054688E-03
+817.5000E-06,+0.0E+00,-118.0904511E-03,+114.7460938E-03
+817.7500E-06,+241.2060276E-03,-218.5929626E-03,+456.5429688E-03
+818.0000E-06,+241.2060276E-03,-404.5226086E-03,+637.5122069E-03
+818.2500E-06,+304.0200972E-03,-741.2060223E-03,+1.0449218750E+00
+818.5000E-06,+520.1004970E-03,-809.0452173E-03,+1.3208007812E+00
+818.7500E-06,+839.1959711E-03,-791.4572777E-03,+1.6235351562E+00
+819.0000E-06,+804.0200919E-03,-1.1231155660E+00,+1.9213867188E+00
+819.2500E-06,+758.7939619E-03,-1.4120602862E+00,+2.1679687500E+00
+819.5000E-06,+1.0452261195E+00,-1.3668341562E+00,+2.4023437500E+00
+819.7500E-06,+1.2286432028E+00,-1.4472361654E+00,+2.6684570312E+00
+820.0000E-06,+1.2864321470E+00,-1.6884421930E+00,+2.9687500000E+00
+820.2500E-06,+1.3944723466E+00,-1.7412060118E+00,+3.1347656250E+00
+820.5000E-06,+1.4472361654E+00,-1.8015075187E+00,+3.2446289065E+00
+820.7500E-06,+1.6080401838E+00,-1.8140703321E+00,+3.4158325193E+00
+821.0000E-06,+1.6809045049E+00,-1.9346733459E+00,+3.6108398438E+00
+821.2500E-06,+1.6256281234E+00,-2.1356783689E+00,+3.7524414062E+00
+821.5000E-06,+1.7688442022E+00,-1.9673366624E+00,+3.7280273438E+00
+821.7500E-06,+1.7914572671E+00,-1.9874371647E+00,+3.7695312500E+00
+822.0000E-06,+1.6909547557E+00,-2.1683416854E+00,+3.8574218750E+00
+822.2500E-06,+1.7512562626E+00,-2.1080401785E+00,+3.8574218750E+00
+822.5000E-06,+1.8919597786E+00,-1.8819095279E+00,+3.7692260744E+00
+822.7500E-06,+1.8266331464E+00,-1.8718592763E+00,+3.6914062500E+00
+823.0000E-06,+1.6834170676E+00,-1.9321607832E+00,+3.6108398438E+00
+823.2500E-06,+1.5628140538E+00,-1.8316582717E+00,+3.3883666993E+00
+823.5000E-06,+1.6834170676E+00,-1.6130653092E+00,+3.2910156250E+00
+823.7500E-06,+1.5728643046E+00,-1.4472361654E+00,+3.0154418943E+00
+824.0000E-06,+1.2135678259E+00,-1.6809045049E+00,+2.8906250000E+00
+824.2500E-06,+1.2412060171E+00,-1.4296482258E+00,+2.6635742188E+00
+824.5000E-06,+1.2487437051E+00,-1.1206030033E+00,+2.3608398439E+00
+824.7500E-06,+1.0904522494E+00,-1.0226130545E+00,+2.1118164061E+00
+825.0000E-06,+879.3969757E-03,-969.8492356E-03,+1.8457031250E+00
+825.2500E-06,+723.6180827E-03,-884.4221011E-03,+1.6015625000E+00
+825.5000E-06,+718.5929573E-03,-567.8391897E-03,+1.2792968750E+00
+825.7500E-06,+482.4120551E-03,-424.6231109E-03,+900.8789061E-03
+826.0000E-06,+87.9396972E-03,-555.2763763E-03,+634.7656250E-03
+826.2500E-06,+17.5879396E-03,-286.4321575E-03,+295.4101561E-03
+826.5000E-06,+42.7135673E-03,+42.7135673E-03,+0.0E+00
+826.7500E-06,-218.5929626E-03,+80.4020092E-03,-300.2929689E-03
+827.0000E-06,-484.9246178E-03,+158.2914557E-03,-644.5312500E-03
+827.2500E-06,-535.1758740E-03,+412.0602967E-03,-949.7070311E-03
+827.5000E-06,-723.6180827E-03,+562.8140643E-03,-1.2890625000E+00
+827.7500E-06,-907.0351661E-03,+678.3919527E-03,-1.5893554689E+00
+828.0000E-06,-1.2035175752E+00,+645.7286362E-03,-1.8554687500E+00
+828.2500E-06,-1.2688442074E+00,+839.1959711E-03,-2.1166992189E+00
+828.5000E-06,-1.2864321470E+00,+1.0879396867E+00,-2.3754882811E+00
+828.7500E-06,-1.5628140538E+00,+1.0678391844E+00,-2.6342773439E+00
+829.0000E-06,-1.6909547556E+00,+1.1256281286E+00,-2.8247070311E+00
+829.2500E-06,-1.6432160630E+00,+1.4120602862E+00,-3.0566406250E+00
+829.5000E-06,-1.7261306349E+00,+1.5326632999E+00,-3.2641601561E+00
+829.7500E-06,-1.9522612855E+00,+1.5050251096E+00,-3.4667968750E+00
+830.0000E-06,-2.0150753551E+00,+1.5226130492E+00,-3.5449218750E+00
+830.2500E-06,-1.9924622901E+00,+1.6256281234E+00,-3.6230468750E+00
+830.5000E-06,-1.9723617878E+00,+1.7261306349E+00,-3.7011718750E+00
+830.7500E-06,-2.1256281182E+00,+1.6306532488E+00,-3.7573242189E+00
+831.0000E-06,-2.2487436946E+00,+1.4522612908E+00,-3.7036132811E+00
+831.2500E-06,-2.0276381694E+00,+1.7688442022E+00,-3.7985229493E+00
+831.5000E-06,-1.9623115371E+00,+1.8115577694E+00,-3.7789916995E+00
+831.7500E-06,-2.0452261090E+00,+1.6532663137E+00,-3.7011718750E+00
+832.0000E-06,-2.0125627924E+00,+1.6055276211E+00,-3.6230468750E+00
+832.2500E-06,-1.8316582717E+00,+1.6432160630E+00,-3.4838867189E+00
