x-axis,1,3,MATH1
second,Volt,Volt,Volt
+812.0000E-06,-2.0879396762E+00,+1.6080401838E+00,-3.6987304688E+00
+812.2500E-06,-2.1708542481E+00,+1.5452261142E+00,-3.7182617188E+00
+812.5000E-06,-2.0100502297E+00,+1.8492462113E+00,-3.8671875000E+00
+812.7500E-06,-1.9748743505E+00,+1.9296482205E+00,-3.9111328123E+00
+813.0000E-06,-2.2487436946E+00,+1.7713567649E+00,-4.0234375000E+00
+813.2500E-06,-2.2512562573E+00,+1.7512562626E+00,-4.0063476562E+00
+813.5000E-06,-2.0477386716E+00,+1.8919597786E+00,-3.9453125000E+00
+813.7500E-06,-1.9522612855E+00,+1.9070351555E+00,-3.8671875000E+00
+814.0000E-06,-2.0125627924E+00,+1.7663316395E+00,-3.7792968750E+00
+814.2500E-06,-2.0100502297E+00,+1.6708542534E+00,-3.6840820312E+00
+814.5000E-06,-1.8115577695E+00,+1.7261306349E+00,-3.5449218750E+00
+814.7500E-06,-1.6884421930E+00,+1.6080401838E+00,-3.3007812500E+00
+815.0000E-06,-1.7638190768E+00,+1.2914572724E+00,-3.0566406250E+00
+815.2500E-06,-1.5904522442E+00,+1.2864321470E+00,-2.8833007812E+00
+815.5000E-06,-1.2437185797E+00,+1.2914572724E+00,-2.5415039062E+00
+815.7500E-06,-1.1834170728E+00,+1.1256281286E+00,-2.3120117188E+00
+816.0000E-06,-1.1306532540E+00,+876.8844130E-03,-2.0092773438E+00
+816.2500E-06,-902.0100407E-03,+804.0200919E-03,-1.7086791993E+00
+816.5000E-06,-648.2411989E-03,+761.3065246E-03,-1.4138793944E+00
+816.7500E-06,-585.4271293E-03,+540.2009993E-03,-1.1328125000E+00
+817.0000E-06,-562.8140643E-03,+241.2060276E-03,-810.5468750E-03
+817.2500E-06,-366.8341667E-03,+115.5778884E-03,-488.2812500E-03
+817.5000E-06,-37.6884419E-03,+123.1155765E-03,-166.0156250E-03
+817.7500E-06,-12.5628142E-03,-195.9798976E-03,+178.2226562E-03
+818.0000E-06,-75.3768838E-03,-479.8994924E-03,+402.8320312E-03
+818.2500E-06,+366.8341667E-03,-437.1859252E-03,+800.7812500E-03
+818.5000E-06,+600.5025062E-03,-525.1256224E-03,+1.1230468750E+00
+818.7500E-06,+620.6030085E-03,-768.8442127E-03,+1.3821411132E+00
+819.0000E-06,+723.6180827E-03,-1.0477386822E+00,+1.7700195312E+00
